Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,98.80,98.70,99.70,+64.74,"1,070","1,633",0.00%,"14:06 ET","6,725.00",Put,0.17,0.15,0.20,-20.69,"31,645","1,113",12.72%,"14:22 ET"
Call,93.66,93.90,94.80,+62.88,818,"1,018",0.00%,"14:18 ET","6,730.00",Put,0.17,0.20,0.25,-23.38,"29,939","1,055",12.16%,"14:22 ET"
Call,88.65,89.00,89.80,+60.75,625,759,0.00%,"13:52 ET","6,735.00",Put,0.20,0.20,0.25,-25.10,"20,303",454,11.60%,"14:22 ET"
Call,83.70,84.00,84.80,+58.70,"1,008","1,261",0.00%,"14:19 ET","6,740.00",Put,0.20,0.20,0.25,-27.60,"31,212",602,11.19%,"14:22 ET"
Call,75.39,79.00,79.80,+52.87,"1,007",837,0.00%,"14:15 ET","6,745.00",Put,0.25,0.25,0.30,-29.55,"25,334",345,10.82%,"14:20 ET"
Call,73.69,74.00,74.80,+53.39,"2,943","3,081",0.00%,"14:21 ET","6,750.00",Put,0.25,0.20,0.30,-31.65,"52,622","1,609",10.24%,"14:22 ET"
Call,68.28,69.00,69.80,+50.64,"2,037","1,127",0.00%,"14:16 ET","6,755.00",Put,0.27,0.25,0.30,-35.33,"26,669",462,9.76%,"14:22 ET"
Call,62.96,64.00,64.90,+47.16,"4,372","2,451",0.00%,"14:08 ET","6,760.00",Put,0.30,0.25,0.30,-38.37,"41,739",742,9.17%,"14:22 ET"
Call,58.62,59.30,59.70,+45.12,"3,106","1,893",0.00%,"14:21 ET","6,765.00",Put,0.30,0.30,0.35,-42.05,"34,470",346,8.81%,"14:21 ET"
Call,54.00,54.40,54.70,+42.27,"5,375",991,0.00%,"14:20 ET","6,770.00",Put,0.35,0.30,0.35,-44.45,"44,843",675,8.19%,"14:21 ET"
Call,48.64,49.40,49.80,+38.31,"11,791","1,762",0.00%,"14:21 ET","6,775.00",Put,0.35,0.35,0.40,-47.90,"50,049",421,7.75%,"14:22 ET"
Call,43.90,44.40,44.80,+35.02,"24,059","1,697",0.00%,"14:21 ET","6,780.00",Put,0.42,0.40,0.45,-51.96,"48,288","1,244",7.21%,"14:21 ET"
Call,39.03,39.50,39.80,+31.43,"23,698",930,0.00%,"14:19 ET","6,785.00",Put,0.47,0.45,0.50,-56.25,"36,750",429,6.84%,"14:22 ET"
Call,34.20,34.60,34.90,+27.90,"35,397","1,057",0.00%,"14:20 ET","6,790.00",Put,0.55,0.50,0.55,-60.07,"41,473",325,6.20%,"14:22 ET"
Call,28.85,29.70,30.00,+23.54,"36,174",763,0.00%,"14:21 ET","6,795.00",Put,0.70,0.65,0.70,-62.70,"37,471",511,5.82%,"14:22 ET"
Call,23.60,24.60,25.10,+19.00,"80,334","6,060",2.95%,"14:22 ET","6,800.00",Put,0.85,0.80,0.85,-68.52,"63,288","3,295",5.29%,"14:22 ET"
Call,19.50,20.10,20.40,+15.71,"55,067",962,3.02%,"14:22 ET","6,805.00",Put,1.15,1.10,1.15,-69.00,"36,132",89,4.92%,"14:22 ET"
Call,14.40,15.50,15.90,+11.20,"83,813","1,235",3.70%,"14:22 ET","6,810.00",Put,1.63,1.60,1.65,-74.06,"38,327",718,4.66%,"14:22 ET"
Call,10.50,11.40,11.60,+7.85,"75,247","3,672",3.53%,"14:22 ET","6,815.00",Put,2.50,2.40,2.50,-105.00,"31,265",583,4.37%,"14:22 ET"
Call,6.60,7.70,7.90,+4.45,"93,762","2,543",3.40%,"14:22 ET","6,820.00",Put,4.00,3.80,3.90,-81.43,"26,611",563,4.19%,"14:22 ET"
Call,3.90,4.80,4.90,+2.16,"93,562","2,194",3.40%,"14:22 ET","6,825.00",Put,6.22,5.80,5.90,-85.72,"10,908",715,4.10%,"14:22 ET"
Call,2.05,2.70,2.80,+0.68,"111,641","1,571",3.43%,"14:22 ET","6,830.00",Put,9.50,8.60,8.80,-83.88,"4,633",341,4.00%,"14:22 ET"
Call,1.00,1.40,1.45,-0.15,"76,026","1,022",3.43%,"14:22 ET","6,835.00",Put,13.50,12.30,12.50,-86.00,"1,724",176,4.21%,"14:22 ET"
Call,0.60,0.70,0.75,-0.30,"54,977",738,3.60%,"14:22 ET","6,840.00",Put,17.90,16.50,16.70,-105.71,"1,731",204,4.50%,"14:22 ET"
Call,0.32,0.35,0.45,-0.40,"34,353",740,3.78%,"14:22 ET","6,845.00",Put,21.96,21.00,21.40,-98.54,587,202,4.68%,"14:22 ET"
Call,0.20,0.20,0.25,-0.45,"39,199","12,793",3.99%,"14:22 ET","6,850.00",Put,26.70,25.80,26.50,-94.43,"1,104",705,5.38%,"14:20 ET"
Call,0.13,0.10,0.20,-0.39,"17,255",748,4.33%,"14:22 ET","6,855.00",Put,32.50,30.80,31.20,-103.40,252,273,5.80%,"14:17 ET"
Call,0.10,0.10,0.15,-0.25,"16,216","7,932",4.77%,"14:22 ET","6,860.00",Put,36.30,35.70,36.10,-115.45,653,268,6.20%,"14:06 ET"
Call,0.07,0.05,0.10,-0.28,"12,638",673,5.20%,"14:22 ET","6,865.00",Put,43.35,40.70,41.10,-107.98,40,68,6.88%,"14:14 ET"
Call,0.07,0.05,0.10,-0.23,"9,848","1,087",5.75%,"14:22 ET","6,870.00",Put,47.16,45.50,46.30,-106.62,815,208,7.54%,"14:16 ET"
Call,0.05,0.00,0.10,-0.15,"9,442","5,431",5.77%,"14:22 ET","6,875.00",Put,59.55,50.50,51.30,-96.15,443,652,8.19%,"12:56 ET"
Call,0.05,0.00,0.10,-0.20,"5,349","1,758",6.27%,"14:22 ET","6,880.00",Put,60.00,55.50,56.30,-109.57,89,196,8.84%,"13:33 ET"
Call,0.03,0.00,0.05,-0.17,"4,354",838,6.77%,"14:19 ET","6,885.00",Put,95.10,60.30,61.30,-54.51,34,329,8.89%,"12:12 ET"
Call,0.03,0.00,0.05,-0.12,"3,231","1,456",6.87%,"14:12 ET","6,890.00",Put,71.10,65.50,66.30,-106.47,56,102,10.10%,"14:00 ET"
