Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
110.42,107.05,19.44%,0.8462,0.0024,-6.4422,1.2015,"10:29 ET","6,750.00",5.91,6.60,18.27%,-0.1393,0.0024,-5.0401,1.1243,"10:29 ET"
112.70,102.60,19.23%,0.8363,0.0025,-6.6123,1.2516,"10:04 ET","6,755.00",6.70,7.10,18.06%,-0.1491,0.0025,-5.2147,1.1771,"10:29 ET"
103.85,98.10,18.94%,0.8267,0.0027,-6.7395,1.2986,"09:54 ET","6,760.00",7.56,7.70,17.90%,-0.1603,0.0027,-5.4184,1.2346,"10:30 ET"
95.11,93.70,18.71%,0.8158,0.0028,-6.8929,1.3494,"10:20 ET","6,765.00",8.50,8.30,17.71%,-0.1716,0.0028,-5.5986,1.2905,"10:31 ET"
91.34,89.40,18.51%,0.8037,0.0030,-7.0669,1.4031,"10:14 ET","6,770.00",8.90,8.90,17.48%,-0.1833,0.0030,-5.7553,1.3452,"10:27 ET"
85.58,85.58,18.61%,0.7873,0.0031,-7.4087,1.4719,"10:31 ET","6,775.00",9.78,9.60,17.29%,-0.1962,0.0032,-5.9312,1.4029,"10:31 ET"
82.36,80.90,18.08%,0.7778,0.0033,-7.3774,1.5094,"10:19 ET","6,780.00",10.30,10.30,17.05%,-0.2095,0.0033,-6.0801,1.4588,"10:30 ET"
77.97,76.70,17.84%,0.7639,0.0034,-7.5102,1.5615,"10:28 ET","6,785.00",11.20,11.20,16.92%,-0.2250,0.0035,-6.2786,1.5199,"10:24 ET"
74.55,72.60,17.63%,0.7489,0.0036,-7.6494,1.6144,"10:30 ET","6,790.00",12.10,12.10,16.73%,-0.2407,0.0037,-6.4423,1.5781,"10:27 ET"
69.19,68.60,17.43%,0.7328,0.0037,-7.7901,1.6671,"10:25 ET","6,795.00",12.30,13.10,16.57%,-0.2575,0.0038,-6.6065,1.6360,"10:31 ET"
65.99,64.60,17.20%,0.7163,0.0039,-7.8948,1.7170,"10:30 ET","6,800.00",14.40,14.20,16.42%,-0.2755,0.0040,-6.7661,1.6928,"10:32 ET"
