Type,Call Volume,Call Open Int,Call IV,Call Delta,Call Gamma,Call Vega,Call GEX,Call Vanna,Net GEX,Strike,Type,Put GEX,Put Vanna,Put Volume,Put Open Int,Put IV,Put Delta,Put Gamma,Put Vega
Call,12,78,2.599,0.8782,0.0074,0.0213,113.1312,0.259434,-166.2864,116.0,Put,-279.4176,-0.00596,636,528,1.3079,-0.0149,0.0027,0.004
Call,33,77,2.0404,0.9164,0.0071,0.0162,107.1532,0.135432,-296.0188,117.0,Put,-403.172,-0.009359,815,605,1.316,-0.0191,0.0034,0.0049
Call,10,200,1.5073,0.9597,0.0055,0.0091,215.6,0.036673,-693.2128,118.0,Put,-908.8128,-0.015686,984,1104,1.338,-0.0253,0.0042,0.0062
Call,19,31,1.9175,0.9101,0.008,0.0171,48.608,0.153729,-648.6424,119.0,Put,-697.2504,-0.021672,766,726,1.3312,-0.0301,0.0049,0.0072
Call,414,260,1.4683,0.9491,0.0068,0.011,346.528,0.05599,-17237.0828,120.0,Put,-17583.6108,-0.030492,15368,15739,1.3298,-0.0363,0.0057,0.0084
Call,14,34,1.4325,0.9448,0.0074,0.0118,49.3136,0.065136,-523.9864,121.0,Put,-573.3,-0.040375,651,450,1.3205,-0.0425,0.0065,0.0095
Call,42,276,1.6601,0.9076,0.0095,0.0175,513.912,0.1617,-879.0796,122.0,Put,-1392.9916,-0.060648,1923,923,1.3412,-0.0532,0.0077,0.0114
Call,31,280,1.253,0.9488,0.0079,0.0111,433.552,0.056832,-922.1408,123.0,Put,-1355.6928,-0.084084,1850,786,1.3486,-0.0637,0.0088,0.0132
Call,44,214,1.5014,0.9045,0.0107,0.0179,448.8008,0.170945,-699.7592,124.0,Put,-1148.56,-0.116888,1063,586,1.3665,-0.0769,0.01,0.0152
Call,118,598,1.515,0.8897,0.0118,0.0199,1383.0544,0.219497,-8117.7908,125.0,Put,-9500.8452,-0.149058,6300,4367,1.3609,-0.0882,0.0111,0.0169
Call,61,692,1.9064,0.8272,0.0127,0.027,1722.5264,0.46656,-634.9616,126.0,Put,-2357.488,-0.189431,1850,970,1.3593,-0.1013,0.0124,0.0187
Call,39,526,1.4943,0.8637,0.0139,0.023,1433.0344,0.31349,-3612.9464,127.0,Put,-5045.9808,-0.236365,1622,1893,1.3552,-0.1153,0.0136,0.0205
Call,145,196,1.8296,0.8053,0.0143,0.0291,549.3488,0.566577,-3235.4896,128.0,Put,-3784.8384,-0.298998,2289,1296,1.362,-0.1323,0.0149,0.0226
Call,38,144,1.4523,0.8365,0.0161,0.026,454.4064,0.4251,-3806.712,129.0,Put,-4261.1184,-0.376712,952,1342,1.3764,-0.1519,0.0162,0.0248
Call,1263,9171,1.5224,0.8083,0.017,0.0288,30557.772,0.552096,-22377.418,130.0,Put,-52935.19,-0.450604,5751,15433,1.3699,-0.1694,0.0175,0.0266
Call,122,1235,1.4443,0.7999,0.0184,0.0295,4453.904,0.590295,-45.2368,131.0,Put,-4499.1408,-0.531364,814,1221,1.357,-0.1871,0.0188,0.0284
Call,182,198,1.4594,0.7774,0.0194,0.0314,752.8752,0.698964,-5640.6448,132.0,Put,-6393.52,-0.637792,919,1631,1.368,-0.2098,0.02,0.0304
Call,298,261,1.4721,0.7544,0.0203,0.0332,1038.4668,0.815392,-5739.7816,133.0,Put,-6778.2484,-0.749294,1378,1639,1.3736,-0.2327,0.0211,0.0322
Call,84,215,1.4597,0.7337,0.0213,0.0346,897.582,0.921398,-2817.598,134.0,Put,-3715.18,-0.865128,966,850,1.3686,-0.2552,0.0223,0.0339
Call,1636,3226,1.4638,0.7102,0.0222,0.0361,14036.9712,1.046178,-52135.9608,135.0,Put,-66172.932,-0.99258,10196,14490,1.371,-0.2796,0.0233,0.0355
Call,560,436,1.453,0.6874,0.0231,0.0373,1974.0336,1.165998,-3022.1436,136.0,Put,-4996.1772,-1.121022,1952,1049,1.3635,-0.3038,0.0243,0.0369
Call,1212,963,1.4803,0.6608,0.0235,0.0386,4435.578,1.309312,-433.2972,137.0,Put,-4868.8752,-1.251966,2474,978,1.3521,-0.3286,0.0254,0.0381
Call,2318,1251,1.4188,0.6401,0.025,0.0395,6129.9,1.421605,-4225.172,138.0,Put,-10355.072,-1.397901,2277,2032,1.3574,-0.3557,0.026,0.0393
Call,1801,541,1.4217,0.614,0.0255,0.0403,2703.918,1.55558,-2144.4164,139.0,Put,-4848.3344,-1.537248,1417,923,1.3505,-0.3824,0.0268,0.0402
Call,9142,2978,1.4155,0.5879,0.0261,0.0411,15234.2568,1.693731,-9092.7144,140.0,Put,-24326.9712,-1.67854,7972,4497,1.3347,-0.4094,0.0276,0.041
Call,2634,976,1.4283,0.5611,0.0262,0.0416,5011.9552,1.825824,256.9168,141.0,Put,-4755.0384,-1.82208,1914,879,1.3557,-0.438,0.0276,0.0416
Call,3758,1396,1.4153,0.5345,0.0266,0.0419,7278.1856,1.950445,-2067.1924,142.0,Put,-9345.378,-1.952959,1560,1673,1.3219,-0.4661,0.0285,0.0419
Call,3565,988,1.4223,0.508,0.0266,0.0421,5151.0368,2.07132,-3596.6392,143.0,Put,-8747.676,-2.081424,1839,1566,1.3292,-0.4944,0.0285,0.0421
Call,3410,2554,1.3944,0.4804,0.0271,0.042,13565.8264,2.18232,10884.5464,144.0,Put,-2681.28,-2.19618,1058,480,1.325,-0.5229,0.0285,0.042
Call,7218,6059,1.3983,0.454,0.0269,0.0418,31945.4716,2.28228,22016.8564,145.0,Put,-9928.6152,-2.311848,901,1723,1.2757,-0.5544,0.0294,0.0417
Call,1801,3437,1.3839,0.4266,0.0269,0.0414,18121.2388,2.373876,11930.7748,146.0,Put,-6190.464,-2.387952,401,1120,1.3133,-0.5796,0.0282,0.0412
Call,1441,2127,1.3873,0.401,0.0264,0.0408,11005.9488,2.44392,1882.8348,147.0,Put,-9123.114,-2.45224,518,1705,1.3403,-0.604,0.0273,0.0406
Call,4569,2214,1.3747,0.3742,0.0261,0.04,11325.9384,2.5032,3430.6272,148.0,Put,-7895.3112,-2.518125,234,1449,1.2813,-0.6375,0.0278,0.0395
Call,1269,1400,1.3809,0.3503,0.0254,0.0391,6969.76,2.540327,4254.0624,149.0,Put,-2715.6976,-2.554162,108,517,1.2955,-0.6617,0.0268,0.0386
Call,19179,12846,1.3576,0.3229,0.0251,0.0379,63197.1816,2.566209,59026.6152,150.0,Put,-4170.5664,-2.56732,741,806,1.2639,-0.692,0.0264,0.0371
Call,3281,2696,1.3435,0.2638,0.0231,0.0345,12206.4096,2.53989,11526.4464,152.5,Put,-679.9632,-2.522156,72,147,1.2902,-0.7462,0.0236,0.0338
