Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,28.30,25.80,28.85,+6.38,12,78,259.90%,11/05/25,116.00,Put,0.10,0.06,0.09,-0.57,636,528,130.79%,11/05/25
Call,26.38,24.85,27.90,+4.61,33,77,204.04%,11/05/25,117.00,Put,0.10,0.00,0.11,-0.69,815,605,131.60%,11/05/25
Call,21.25,24.25,25.30,-2.32,10,200,150.73%,11/05/25,118.00,Put,0.14,0.05,0.15,-0.77,984,"1,104",133.80%,11/05/25
Call,21.85,22.90,25.90,+0.97,19,31,191.75%,11/05/25,119.00,Put,0.17,0.15,0.19,-0.86,766,726,133.12%,11/05/25
Call,22.85,22.40,25.30,+4.85,414,260,146.83%,11/05/25,120.00,Put,0.21,0.20,0.22,-0.96,"15,368","15,739",132.98%,11/05/25
Call,23.35,21.10,22.65,-0.25,14,34,143.25%,11/05/25,121.00,Put,0.25,0.12,0.25,-1.09,651,450,132.05%,11/05/25
Call,21.30,20.20,23.40,+3.48,42,276,166.01%,11/05/25,122.00,Put,0.33,0.29,0.34,-1.16,"1,923",923,134.12%,11/05/25
Call,19.80,19.70,20.50,+0.35,31,280,125.30%,11/05/25,123.00,Put,0.38,0.39,0.43,-1.39,"1,850",786,134.86%,11/05/25
Call,19.92,19.00,19.50,+1.92,44,214,150.14%,11/05/25,124.00,Put,0.52,0.48,0.52,-1.33,"1,063",586,136.65%,11/05/25
Call,18.40,18.20,18.60,+4.29,118,598,151.50%,11/05/25,125.00,Put,0.61,0.58,0.70,-1.51,"6,300","4,367",136.09%,11/05/25
Call,18.50,17.25,19.95,+2.65,61,692,190.64%,11/05/25,126.00,Put,0.72,0.70,0.79,-1.63,"1,850",970,135.93%,11/05/25
Call,16.65,16.40,16.80,+2.95,39,526,149.43%,11/05/25,127.00,Put,0.84,0.83,0.89,-1.74,"1,622","1,893",135.52%,11/05/25
Call,16.73,15.55,16.75,+3.83,145,196,182.96%,11/05/25,128.00,Put,1.00,0.99,1.09,-1.91,"2,289","1,296",136.20%,11/05/25
Call,14.90,14.75,15.35,+0.91,38,144,145.23%,11/05/25,129.00,Put,1.20,1.12,1.26,-1.77,952,"1,342",137.64%,11/05/25
Call,14.30,14.05,15.35,+3.85,"1,263","9,171",152.24%,11/05/25,130.00,Put,1.37,1.34,1.40,-2.18,"5,751","15,433",136.99%,11/05/25
Call,13.30,13.20,13.70,+2.85,122,"1,235",144.43%,11/05/25,131.00,Put,1.54,1.54,1.64,-2.46,814,"1,221",135.70%,11/05/25
Call,12.59,12.45,13.05,+3.52,182,198,145.94%,11/05/25,132.00,Put,1.80,1.76,1.94,-2.55,919,"1,631",136.80%,11/05/25
Call,12.33,11.60,12.20,+3.53,298,261,147.21%,11/05/25,133.00,Put,2.07,2.00,2.25,-2.63,"1,378","1,639",137.36%,11/05/25
Call,11.15,11.00,11.40,+2.21,84,215,145.97%,11/05/25,134.00,Put,2.33,2.28,2.45,-2.85,966,850,136.86%,11/05/25
Call,10.48,10.30,10.70,+2.98,"1,636","3,226",146.38%,11/05/25,135.00,Put,2.64,2.58,2.65,-2.91,"10,196","14,490",137.10%,11/05/25
Call,9.78,9.60,10.00,+2.93,560,436,145.30%,11/05/25,136.00,Put,2.94,2.83,3.05,-3.12,"1,952","1,049",136.35%,11/05/25
Call,9.25,8.95,9.30,+2.85,"1,212",963,148.03%,11/05/25,137.00,Put,3.25,3.20,3.40,-3.30,"2,474",978,135.21%,11/05/25
Call,8.40,8.30,8.65,+2.53,"2,318","1,251",141.88%,11/05/25,138.00,Put,3.65,3.55,3.75,-3.50,"2,277","2,032",135.74%,11/05/25
Call,8.15,7.65,8.00,+2.70,"1,801",541,142.17%,11/05/25,139.00,Put,4.03,3.95,4.10,-3.46,"1,417",923,135.05%,11/05/25
Call,7.24,7.15,7.40,+2.19,"9,142","2,978",141.55%,11/05/25,140.00,Put,4.40,4.30,4.50,-3.85,"7,972","4,497",133.47%,11/05/25
Call,6.76,6.55,6.85,+1.96,"2,634",976,142.83%,11/05/25,141.00,Put,4.95,4.80,5.00,-3.90,"1,914",879,135.57%,11/05/25
Call,6.20,6.10,6.30,+1.95,"3,758","1,396",141.53%,11/05/25,142.00,Put,5.30,5.20,5.40,-4.20,"1,560","1,673",132.19%,11/05/25
Call,5.75,5.50,5.75,+1.87,"3,565",988,142.23%,11/05/25,143.00,Put,5.85,5.70,5.95,-4.15,"1,839","1,566",132.92%,11/05/25
Call,5.18,5.05,5.30,+1.43,"3,410","2,554",139.44%,11/05/25,144.00,Put,6.38,6.25,6.50,-4.27,"1,058",480,132.50%,11/05/25
Call,4.77,4.65,4.90,+1.56,"7,218","6,059",139.83%,11/05/25,145.00,Put,6.75,6.75,7.05,-4.59,901,"1,723",127.57%,11/05/25
Call,4.31,4.20,4.50,+1.36,"1,801","3,437",138.39%,11/05/25,146.00,Put,7.51,7.25,7.70,-4.72,401,"1,120",131.33%,11/05/25
Call,3.95,3.80,4.05,+1.26,"1,441","2,127",138.73%,11/05/25,147.00,Put,8.25,7.95,8.30,-4.73,518,"1,705",134.03%,11/05/25
Call,3.55,3.50,3.65,+1.09,"4,569","2,214",137.47%,11/05/25,148.00,Put,8.67,8.55,8.90,-4.84,234,"1,449",128.13%,11/05/25
Call,3.25,3.10,3.30,+1.05,"1,269","1,400",138.09%,11/05/25,149.00,Put,9.41,9.15,9.60,-4.34,108,517,129.55%,11/05/25
Call,2.86,2.80,2.92,+0.86,"19,179","12,846",135.76%,11/05/25,150.00,Put,10.00,9.75,10.30,-5.15,741,806,126.39%,11/05/25
Call,2.16,2.10,2.27,+0.61,"3,281","2,696",134.35%,11/05/25,152.50,Put,11.97,11.50,12.30,-5.03,72,147,129.02%,11/05/25
Call,1.65,1.60,1.70,+0.47,"15,976","18,253",134.70%,11/05/25,155.00,Put,14.00,13.35,14.25,-4.77,71,256,130.02%,11/05/25
Call,1.20,1.15,1.26,+0.31,"5,067","7,369",133.34%,11/05/25,157.50,Put,15.13,15.05,17.60,-5.79,5,108,76.49%,11/05/25
Call,0.91,0.88,0.95,+0.24,"17,074","15,096",134.54%,11/05/25,160.00,Put,17.26,17.90,19.00,-6.29,51,110,136.61%,11/05/25
Call,0.68,0.67,0.71,+0.13,"3,683","2,544",135.42%,11/05/25,162.50,Put,19.50,19.85,21.10,-6.30,21,93,124.13%,11/05/25
"Downloaded from Barchart.com as of 11-06-2025 08:41am CST"
