Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
28.30,28.30,259.90%,0.8782,0.0074,-1.3954,0.0213,11/05/25,116.00,0.10,0.07,130.79%,-0.0149,0.0027,-0.1293,0.0040,11/05/25
26.38,26.38,204.04%,0.9164,0.0071,-0.8377,0.0162,11/05/25,117.00,0.10,0.10,131.60%,-0.0191,0.0034,-0.1612,0.0049,11/05/25
21.25,24.78,150.73%,0.9597,0.0055,-0.3565,0.0091,11/05/25,118.00,0.14,0.14,133.80%,-0.0253,0.0042,-0.2080,0.0062,11/05/25
21.85,24.40,191.75%,0.9101,0.0080,-0.8317,0.0171,11/05/25,119.00,0.17,0.17,133.12%,-0.0301,0.0049,-0.2394,0.0072,11/05/25
22.85,22.85,146.83%,0.9491,0.0068,-0.4170,0.0110,11/05/25,120.00,0.21,0.21,132.98%,-0.0363,0.0057,-0.2786,0.0084,11/05/25
23.35,21.88,143.25%,0.9448,0.0074,-0.4335,0.0118,11/05/25,121.00,0.25,0.25,132.05%,-0.0425,0.0065,-0.3144,0.0095,11/05/25
21.30,21.30,166.01%,0.9076,0.0095,-0.7364,0.0175,11/05/25,122.00,0.33,0.33,134.12%,-0.0532,0.0077,-0.3823,0.0114,11/05/25
19.80,19.80,125.30%,0.9488,0.0079,-0.3593,0.0111,11/05/25,123.00,0.38,0.41,134.86%,-0.0637,0.0088,-0.4428,0.0132,11/05/25
19.92,19.25,150.14%,0.9045,0.0107,-0.6835,0.0179,11/05/25,124.00,0.52,0.52,136.65%,-0.0769,0.0100,-0.5189,0.0152,11/05/25
18.40,18.40,151.50%,0.8897,0.0118,-0.7639,0.0199,11/05/25,125.00,0.61,0.61,136.09%,-0.0882,0.0111,-0.5729,0.0169,11/05/25
18.50,18.50,190.64%,0.8272,0.0127,-1.2959,0.0270,11/05/25,126.00,0.72,0.72,135.93%,-0.1013,0.0124,-0.6337,0.0187,11/05/25
16.65,16.65,149.43%,0.8637,0.0139,-0.8723,0.0230,11/05/25,127.00,0.84,0.84,135.52%,-0.1153,0.0136,-0.6933,0.0205,11/05/25
16.73,16.73,182.96%,0.8053,0.0143,-1.3392,0.0291,11/05/25,128.00,1.00,1.00,136.20%,-0.1323,0.0149,-0.7672,0.0226,11/05/25
14.90,14.90,145.23%,0.8365,0.0161,-0.9558,0.0260,11/05/25,129.00,1.20,1.20,137.64%,-0.1519,0.0162,-0.8509,0.0248,11/05/25
14.30,14.30,152.24%,0.8083,0.0170,-1.1058,0.0288,11/05/25,130.00,1.37,1.37,136.99%,-0.1694,0.0175,-0.9094,0.0266,11/05/25
13.30,13.30,144.43%,0.7999,0.0184,-1.0771,0.0295,11/05/25,131.00,1.54,1.54,135.70%,-0.1871,0.0188,-0.9591,0.0284,11/05/25
12.59,12.59,145.94%,0.7774,0.0194,-1.1576,0.0314,11/05/25,132.00,1.80,1.80,136.80%,-0.2098,0.0200,-1.0359,0.0304,11/05/25
12.33,11.90,147.21%,0.7544,0.0203,-1.2320,0.0332,11/05/25,133.00,2.07,2.07,137.36%,-0.2327,0.0211,-1.1036,0.0322,11/05/25
11.15,11.15,145.97%,0.7337,0.0213,-1.2737,0.0346,11/05/25,134.00,2.33,2.33,136.86%,-0.2552,0.0223,-1.1554,0.0339,11/05/25
10.48,10.48,146.38%,0.7102,0.0222,-1.3304,0.0361,11/05/25,135.00,2.64,2.64,137.10%,-0.2796,0.0233,-1.2119,0.0355,11/05/25
9.78,9.78,145.30%,0.6874,0.0231,-1.3657,0.0373,11/05/25,136.00,2.94,2.94,136.35%,-0.3038,0.0243,-1.2526,0.0369,11/05/25
9.25,9.25,148.03%,0.6608,0.0235,-1.4378,0.0386,11/05/25,137.00,3.25,3.25,135.21%,-0.3286,0.0254,-1.2841,0.0381,11/05/25
8.40,8.40,141.88%,0.6401,0.0250,-1.4082,0.0395,11/05/25,138.00,3.65,3.65,135.74%,-0.3557,0.0260,-1.3281,0.0393,11/05/25
8.15,7.83,142.17%,0.6140,0.0255,-1.4425,0.0403,11/05/25,139.00,4.03,4.03,135.05%,-0.3824,0.0268,-1.3528,0.0402,11/05/25
7.24,7.24,141.55%,0.5879,0.0261,-1.4608,0.0411,11/05/25,140.00,4.40,4.40,133.47%,-0.4094,0.0276,-1.3616,0.0410,11/05/25
6.76,6.76,142.83%,0.5611,0.0262,-1.4925,0.0416,11/05/25,141.00,4.95,4.95,135.57%,-0.4380,0.0276,-1.4024,0.0416,11/05/25
6.20,6.20,141.53%,0.5345,0.0266,-1.4906,0.0419,11/05/25,142.00,5.30,5.30,132.19%,-0.4661,0.0285,-1.3787,0.0419,11/05/25
