Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,46.78,46.10,48.00,+3.38,509,"10,324",198.91%,11/19/25,140.00,Put,0.08,0.08,0.09,-0.01,"11,455","33,840",170.38%,11/19/25
Call,41.57,40.90,42.85,+4.08,117,"11,651",128.42%,11/19/25,145.00,Put,0.12,0.12,0.13,-0.01,"8,210","40,920",160.65%,11/19/25
Call,39.35,37.95,41.45,+5.05,8,4,158.08%,11/19/25,147.00,Put,0.13,0.12,0.18,-0.04,"1,899","1,238",154.83%,11/19/25
Call,38.25,37.80,40.50,+4.94,2,11,198.44%,11/19/25,148.00,Put,0.15,0.15,0.16,-0.02,"1,159","1,368",154.33%,11/19/25
Call,37.97,36.30,39.00,+3.22,7,76,180.00%,11/19/25,149.00,Put,0.17,0.11,0.17,-0.04,"2,312",731,153.44%,11/19/25
Call,36.60,35.95,37.80,+4.42,"1,006","19,676",125.16%,11/19/25,150.00,Put,0.17,0.17,0.18,-0.07,"34,023","37,372",149.52%,11/19/25
Call,33.93,33.35,35.35,+3.58,199,116,154.09%,11/19/25,152.50,Put,0.20,0.20,0.21,-0.10,"4,113","2,524",143.59%,11/19/25
Call,32.10,31.10,32.85,+4.45,491,"8,432",162.62%,11/19/25,155.00,Put,0.26,0.26,0.27,-0.16,"18,108","28,078",140.09%,11/19/25
Call,29.68,28.60,30.35,+3.73,102,255,156.08%,11/19/25,157.50,Put,0.32,0.32,0.35,-0.25,"6,408","6,517",135.21%,11/19/25
Call,27.21,26.10,27.85,+4.91,"1,600","10,842",146.18%,11/19/25,160.00,Put,0.42,0.40,0.42,-0.37,"45,376","62,091",132.06%,11/19/25
Call,24.90,23.60,25.90,+4.60,248,573,143.69%,11/19/25,162.50,Put,0.56,0.53,0.54,-0.50,"15,915","11,079",128.14%,11/19/25
