Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade",Strike,Type,Last,Bid,Ask,Change,Volume,"Open Int",IV,"Last Trade"
Call,51.64,48.75,50.00,+3.60,2,7,0.00%,11/05/25,130.00,Put,0.02,0.00,0.03,-0.02,22,144,162.52%,11/05/25
Call,0.00,43.70,44.95,unch,0,0,0.00%,N/A,135.00,Put,0.01,0.01,0.04,-0.06,216,260,135.56%,11/05/25
Call,41.70,38.80,39.90,+5.80,4,9,0.00%,11/05/25,140.00,Put,0.04,0.03,0.04,-0.08,349,"1,595",138.67%,11/05/25
Call,38.30,33.80,34.85,+38.30,2,8,0.00%,11/05/25,145.00,Put,0.08,0.01,0.09,-0.08,408,465,132.56%,11/05/25
Call,0.00,32.20,34.75,unch,0,0,0.00%,N/A,146.00,Put,0.08,0.00,0.06,-0.02,12,0,128.84%,11/05/25
Call,0.00,31.80,34.50,unch,0,0,165.42%,N/A,147.00,Put,0.09,0.00,0.11,-0.04,81,65,127.25%,11/05/25
Call,0.00,30.85,33.20,unch,0,0,150.01%,N/A,148.00,Put,0.08,0.07,0.20,-0.17,209,0,121.44%,11/05/25
Call,0.00,29.80,32.50,unch,0,0,156.26%,N/A,149.00,Put,0.10,0.05,0.16,-0.11,42,2,121.65%,11/05/25
Call,31.50,28.15,31.50,+5.95,62,80,219.04%,11/05/25,150.00,Put,0.08,0.05,0.09,-0.19,"1,382","2,011",114.10%,11/05/25
Call,23.30,25.35,29.35,unch,0,23,111.22%,11/04/25,152.50,Put,0.12,0.08,0.15,-0.23,139,286,111.67%,11/05/25
Call,27.88,22.70,26.90,+7.25,9,77,93.39%,11/05/25,155.00,Put,0.13,0.13,0.15,-0.39,"3,487","2,220",103.52%,11/05/25
Call,18.70,20.55,24.45,+18.70,18,16,107.19%,11/05/25,157.50,Put,0.23,0.23,0.24,-0.52,958,"1,334",104.17%,11/05/25
Call,20.70,17.15,21.05,+6.40,31,156,132.75%,11/05/25,160.00,Put,0.36,0.33,0.38,-0.71,"5,000","1,769",103.18%,11/05/25
Call,19.85,15.90,19.50,+4.75,33,49,98.01%,11/05/25,162.50,Put,0.53,0.52,0.63,-0.96,"3,698",723,101.29%,11/05/25
Call,16.73,14.05,16.10,+5.75,531,"10,538",80.05%,11/05/25,165.00,Put,0.78,0.75,0.80,-1.34,"5,576","5,168",99.92%,11/05/25
Call,14.63,11.90,15.40,+5.16,91,280,133.56%,11/05/25,167.50,Put,1.16,1.09,1.20,-1.95,"2,744","2,571",99.71%,11/05/25
Call,11.46,9.60,11.60,+4.36,278,"1,435",100.89%,11/05/25,170.00,Put,1.66,1.63,2.20,-2.52,"4,691","3,058",99.25%,11/05/25
Call,9.66,8.55,9.80,+3.81,275,271,101.38%,11/05/25,172.50,Put,2.48,2.12,3.00,-2.85,"1,667",939,102.65%,11/05/25
Call,7.69,7.00,7.80,+2.79,"1,813","1,061",94.85%,11/05/25,175.00,Put,3.35,3.10,4.30,-3.72,"2,830","2,563",102.96%,11/05/25
Call,6.45,6.00,6.60,+2.64,"1,231",708,99.68%,11/05/25,177.50,Put,4.37,4.10,6.55,-3.22,"1,609",843,102.71%,11/05/25
