Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade",Strike,Last,Theor.,IV,Delta,Gamma,Theta,Vega,"Last Trade"
51.64,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,11/05/25,130.00,0.02,0.02,162.52%,-0.0030,0.0004,-0.0488,0.0012,11/05/25
0.00,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,N/A,135.00,0.01,0.01,135.56%,-0.0019,0.0003,-0.0267,0.0008,11/05/25
41.70,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,11/05/25,140.00,0.04,0.04,138.67%,-0.0065,0.0010,-0.0839,0.0024,11/05/25
38.30,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,11/05/25,145.00,0.08,0.08,132.56%,-0.0126,0.0019,-0.1438,0.0043,11/05/25
0.00,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,N/A,146.00,0.08,0.08,128.84%,-0.0130,0.0019,-0.1430,0.0044,11/05/25
0.00,33.15,165.42%,0.9556,0.0042,-0.5199,0.0124,N/A,147.00,0.09,0.09,127.25%,-0.0146,0.0022,-0.1562,0.0049,11/05/25
0.00,32.02,150.01%,0.9644,0.0039,-0.3959,0.0104,N/A,148.00,0.08,0.08,121.44%,-0.0137,0.0022,-0.1413,0.0047,11/05/25
0.00,31.15,156.26%,0.9534,0.0047,-0.5118,0.0130,N/A,149.00,0.10,0.10,121.65%,-0.0167,0.0026,-0.1677,0.0055,11/05/25
31.50,31.50,219.04%,0.8842,0.0067,-1.4251,0.0259,11/05/25,150.00,0.08,0.08,114.10%,-0.0145,0.0024,-0.1395,0.0049,11/05/25
23.30,27.35,111.22%,0.9791,0.0034,-0.1916,0.0067,11/04/25,152.50,0.12,0.12,111.67%,-0.0212,0.0034,-0.1889,0.0068,11/05/25
27.88,24.80,93.39%,0.9851,0.0030,-0.1226,0.0050,11/05/25,155.00,0.13,0.13,103.52%,-0.0244,0.0042,-0.1969,0.0076,11/05/25
18.70,22.50,107.19%,0.9557,0.0065,-0.3394,0.0124,11/05/25,157.50,0.23,0.23,104.17%,-0.0399,0.0062,-0.2979,0.0115,11/05/25
20.70,20.70,132.75%,0.8911,0.0106,-0.8296,0.0248,11/05/25,160.00,0.36,0.36,103.18%,-0.0592,0.0086,-0.4041,0.0157,11/05/25
19.85,17.70,98.01%,0.9230,0.0111,-0.4772,0.0192,11/05/25,162.50,0.53,0.53,101.29%,-0.0835,0.0114,-0.5163,0.0204,11/05/25
16.73,15.08,80.05%,0.9296,0.0126,-0.3657,0.0179,11/05/25,165.00,0.78,0.78,99.92%,-0.1163,0.0147,-0.6490,0.0260,11/05/25
14.63,14.63,133.56%,0.7771,0.0168,-1.3303,0.0397,11/05/25,167.50,1.16,1.16,99.71%,-0.1605,0.0184,-0.8069,0.0324,11/05/25
11.46,11.46,100.89%,0.7832,0.0219,-0.9909,0.0390,11/05/25,170.00,1.66,1.66,99.25%,-0.2133,0.0220,-0.9581,0.0387,11/05/25
9.66,9.66,101.38%,0.7208,0.0249,-1.1390,0.0447,11/05/25,172.50,2.48,2.48,102.65%,-0.2813,0.0247,-1.1491,0.0449,11/05/25
7.69,7.69,94.85%,0.6611,0.0290,-1.1596,0.0487,11/05/25,175.00,3.35,3.35,102.96%,-0.3488,0.0270,-1.2634,0.0492,11/05/25
6.45,6.45,99.68%,0.5819,0.0295,-1.2992,0.0519,11/05/25,177.50,4.37,4.37,102.71%,-0.4197,0.0286,-1.3309,0.0520,11/05/25
4.95,4.95,95.67%,0.5059,0.0313,-1.2733,0.0531,11/05/25,180.00,5.75,5.75,105.81%,-0.4918,0.0283,-1.3988,0.0531,11/05/25
4.10,4.10,100.41%,0.4332,0.0294,-1.3170,0.0523,11/05/25,182.50,6.85,6.85,100.18%,-0.5670,0.0295,-1.3049,0.0523,11/05/25
3.15,3.15,99.87%,0.3619,0.0282,-1.2478,0.0499,11/05/25,185.00,8.65,8.65,104.63%,-0.6308,0.0271,-1.3068,0.0502,11/05/25
2.61,2.61,104.53%,0.3058,0.0252,-1.2216,0.0466,11/05/25,187.50,9.40,10.78,113.07%,-0.6785,0.0238,-1.3409,0.0477,11/05/25
2.00,2.00,104.96%,0.2496,0.0227,-1.1103,0.0422,11/05/25,190.00,12.30,12.70,115.11%,-0.7288,0.0216,-1.2614,0.0441,11/05/25
1.58,1.58,107.18%,0.2047,0.0199,-1.0136,0.0378,11/05/25,192.50,12.53,15.05,124.97%,-0.7567,0.0188,-1.2943,0.0417,11/05/25
1.15,1.15,106.44%,0.1598,0.0172,-0.8622,0.0323,11/05/25,195.00,15.74,15.74,82.22%,-0.9050,0.0155,-0.4544,0.0225,11/05/25
0.97,0.97,111.11%,0.1346,0.0147,-0.8020,0.0288,11/05/25,197.50,16.58,18.53,103.58%,-0.8833,0.0142,-0.6674,0.0261,11/05/25
0.78,0.78,113.90%,0.1103,0.0124,-0.7147,0.0251,11/05/25,200.00,18.93,21.95,144.41%,-0.8280,0.0133,-1.2160,0.0339,11/05/25
0.65,0.65,117.58%,0.0923,0.0106,-0.6481,0.0220,11/05/25,202.50,20.14,23.15,104.16%,-0.9345,0.0092,-0.4337,0.0170,11/05/25
0.49,0.49,118.28%,0.0724,0.0088,-0.5425,0.0183,11/05/25,205.00,28.25,25.70,115.34%,-0.9331,0.0085,-0.4888,0.0172,11/05/25
0.46,0.46,124.76%,0.0656,0.0077,-0.5306,0.0170,11/05/25,207.50,25.65,28.48,138.03%,-0.9124,0.0087,-0.7215,0.0212,11/05/25
0.33,0.33,124.01%,0.0496,0.0062,-0.4228,0.0136,11/05/25,210.00,28.05,30.63,126.37%,-0.9473,0.0064,-0.4433,0.0143,11/05/25
0.27,0.27,126.58%,0.0409,0.0052,-0.3699,0.0117,11/05/25,212.50,34.70,33.10,132.03%,-0.9523,0.0057,-0.4276,0.0132,10/30/25
0.30,0.30,136.22%,0.0422,0.0050,-0.4078,0.0120,11/05/25,215.00,38.13,35.63,141.23%,-0.9519,0.0053,-0.4603,0.0133,11/05/25
0.18,0.18,131.24%,0.0278,0.0037,-0.2790,0.0085,11/05/25,217.50,0.00,38.02,139.89%,-0.9635,0.0043,-0.3630,0.0106,N/A
0.18,0.18,137.69%,0.0267,0.0034,-0.2828,0.0082,11/05/25,220.00,38.22,40.85,171.07%,-0.9375,0.0054,-0.6898,0.0163,11/05/25
0.15,0.15,140.02%,0.0224,0.0029,-0.2481,0.0071,11/05/25,222.50,0.00,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,N/A
0.10,0.13,142.24%,0.0188,0.0024,-0.2171,0.0061,11/05/25,225.00,0.00,45.80,182.30%,-0.9450,0.0046,-0.6641,0.0148,N/A
0.11,0.11,145.46%,0.0164,0.0021,-0.1980,0.0054,11/05/25,227.50,0.00,0.00,0.00%,0.0000,0.0000,0.0000,0.0000,N/A
"Downloaded from Barchart.com as of 11-05-2025 11:04pm CST"
